"setNumber","setName","ageGroup","rating","themeGroup","theme","subtheme","pieces","minifigs","RRP","PPP","yearReleased","packaging","availability","instructions","setType"
"2024-1","Duck Rattle",NA,NA,"Pre-school","Duplo","Baby","1",NA,NA,NA,"1983",NA,NA,NA,"Normal"
"2037-1","Spin-A-Coaster",NA,NA,"Pre-school","Duplo","Baby","2",NA,NA,NA,"1983",NA,NA,NA,"Normal"
"2038-1","Activity and Bath Toy",NA,NA,"Pre-school","Duplo","Baby","2",NA,NA,NA,"1983",NA,NA,NA,"Normal"
"2365-1","Basic Set Safari",NA,NA,"Pre-school","Duplo",NA,"34",NA,NA,NA,"1983","Box","Retail",NA,"Normal"
"2401-1","Racer",NA,NA,"Pre-school","Duplo",NA,"3","1 ",NA,NA,"1983",NA,NA,NA,"Normal"
"2402-1","Police Car",NA,NA,"Pre-school","Duplo",NA,"5","1 ",NA,NA,"1983",NA,NA,NA,"Normal"
"2411-1","Camping",NA,NA,"Pre-school","Duplo",NA,"11","2 ",NA,NA,"1983",NA,NA,NA,"Normal"
"2634-1","Tip Truck",NA,NA,"Pre-school","Duplo",NA,"7","1 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"2646-1","Crane Set",NA,NA,"Pre-school","Duplo",NA,"23","1 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"2700-1","Train Set",NA,NA,"Pre-school","Duplo","Trains","31","1 ",NA,NA,"1983",NA,NA,NA,"Normal"
"2705-1","Passenger Train",NA,NA,"Pre-school","Duplo","Trains","12","2 ",NA,NA,"1983",NA,NA,NA,"Normal"
"2711-1","Straight Tracks",NA,NA,"Pre-school","Duplo","Trains","4",NA,"$4.00","100.0c","1983",NA,NA,NA,"Normal"
"2712-1","Curved Tracks",NA,NA,"Pre-school","Duplo","Trains","4",NA,"$4.00","100.0c","1983",NA,NA,NA,"Normal"
"3626-1","Roger Racoon and his Sports Car",NA,NA,"Junior","Fabuland",NA,"16","1 (1 Unique to this set)",NA,NA,"1983",NA,NA,NA,"Normal"
"3627-1","Bonnie Bunny",NA,NA,"Junior","Fabuland",NA,"18","1 ",NA,NA,"1983",NA,NA,NA,"Normal"
"3637-1","Gertrude Goat the painter",NA,NA,"Junior","Fabuland",NA,"14","1 ",NA,NA,"1983",NA,NA,NA,"Normal"
"3638-1","Fire Engine",NA,NA,"Junior","Fabuland",NA,"17","1 ",NA,NA,"1983",NA,NA,NA,"Normal"
"3709-1","Henry Horse the carpenter",NA,NA,"Junior","Fabuland",NA,"2","1 (1 Unique to this set)",NA,NA,"1983",NA,NA,NA,"Normal"
"3710-1","Patrick Panda",NA,NA,"Junior","Fabuland",NA,"2","1 (1 Unique to this set)",NA,NA,"1983",NA,NA,NA,"Normal"
"3787-1","Hannah Hippopotamus the public gardener",NA,NA,"Junior","Fabuland",NA,"8","1 ",NA,NA,"1983",NA,NA,NA,"Normal"
"3788-1","Paulette Poodles' Living Room",NA,NA,"Junior","Fabuland",NA,"12","1 ",NA,NA,"1983",NA,NA,NA,"Normal"
"6002-1","Town Figures",NA,NA,"Modern day","Town","Accessories","20","4 (1 Unique to this set)",NA,NA,"1983","Blister pack","Retail - limited",NA,"Normal"
"6002-2","Castle Figures",NA,NA,"Historical","Castle","Classic","22","4 (2 Unique to this set)",NA,NA,"1983","Blister pack","Retail - limited",NA,"Normal"
"6307-1","Firemen",NA,NA,"Modern day","Town","Accessories","22","4 (2 Unique to this set)",NA,NA,"1983","Blister pack","Retail - limited",NA,"Normal"
"6371-1","Shell Service Station",NA,"4.2","Modern day","Town","Shops and Services","261","3 (2 Unique to this set)",NA,NA,"1983","Box","Retail",NA,"Normal"
"6374-1","Holiday Home",NA,"4.4","Modern day","Town","Leisure","257","2 (1 Unique to this set)",NA,NA,"1983","Box","Retail",NA,"Normal"
"6384-1","Police Station",NA,"4.1","Modern day","Town","Police","389","4 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"6606-1","Road Repair Set",NA,"3.6","Modern day","Town","Maintenance","27","1 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"6623-1","Police Car",NA,"3.8","Modern day","Town","Police","39","1 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"6624-1","Delivery Van",NA,"3.9","Modern day","Town","Vehicles","41","1 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"6652-1","Construction Truck",NA,"3.5","Modern day","Town","Construction","44","1 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"6654-1","Motorcycle Transport",NA,"3.8","Modern day","Town","Vehicles","42","1 (1 Unique to this set)",NA,NA,"1983","Box","Retail",NA,"Normal"
"6683-1","Hamburger Stand",NA,"4.4","Modern day","Town","Shops and Services","69","2 (1 Unique to this set)",NA,NA,"1983","Box","Retail",NA,"Normal"
"6692-1","Tractor Trailer",NA,"4.3","Modern day","Town","Vehicles","96","1 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"6701-1","Minifig Pack",NA,"4.4","Action/Adventure","Space","Classic","36","6 ",NA,NA,"1983",NA,NA,NA,"Normal"
"6711-1","Minifig Pack",NA,NA,"Action/Adventure","Space","Classic","24","4 ","$4.50","18.8c","1983",NA,NA,NA,"Normal"
"6803-1","Space Patrol",NA,"3.9","Action/Adventure","Space","Classic","25","1 ",NA,NA,"1983",NA,NA,NA,"Normal"
"6823-1","Surface Transport",NA,"3.5","Action/Adventure","Space","Classic","27","1 ",NA,NA,"1983",NA,NA,NA,"Normal"
"6844-1","Sismobile",NA,"3.8","Action/Adventure","Space","Classic","46","1 ",NA,NA,"1983",NA,NA,NA,"Normal"
"6930-1","Space Supply Station",NA,"4.4","Action/Adventure","Space","Classic","206","4 ",NA,NA,"1983",NA,NA,NA,"Normal"
"6980-1","Galaxy Commander",NA,"4.6","Action/Adventure","Space","Classic","443","5 ",NA,NA,"1983",NA,NA,NA,"Normal"
"7727-1","Freight Steam Train Set",NA,NA,"Modern day","Trains","4.5/12V","570","2 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"7755-1","Diesel Heavy Shunting Locomotive",NA,"4.3","Modern day","Trains","4.5/12V","164","1 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"7815-1","Passenger Carriage / Sleeper",NA,"4.3","Modern day","Trains","4.5/12V","228","2 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"7819-1","Postal Container Wagon",NA,"4.0","Modern day","Trains","4.5/12V","183","1 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"7821-1","Track & Lighting Maintenance Wagon",NA,NA,"Modern day","Trains","4.5/12V","90","2 ",NA,NA,"1983","Box","Retail - limited",NA,"Normal"
"7824-1","Railway Station",NA,"4.5","Modern day","Trains","4.5/12V","478","9 (4 Unique to this set)","$44.75","9.4c","1983","Box","Retail",NA,"Normal"
"7838-1","Freight Loading Depot",NA,"4.5","Modern day","Trains","4.5/12V","315","3 (1 Unique to this set)",NA,NA,"1983","Box","Retail",NA,"Normal"
"7866-1","Remote Controlled Road Crossing 12V",NA,"4.7","Modern day","Trains","4.5/12V","191","1 ",NA,NA,"1983","Box","Retail",NA,"Normal"
"7867-1","4 Lighting Standards Electric 12V",NA,"4.5","Modern day","Trains","4.5/12V","52",NA,NA,NA,"1983","Box","Retail",NA,"Normal"
"8841-1","Dune Buggy",NA,"3.7","Technical","Technic",NA,"180",NA,NA,NA,"1983","Box","Retail",NA,"Normal"
"8847-1","Dragster",NA,NA,"Technical","Technic",NA,"250",NA,NA,NA,"1983","Box","Retail",NA,"Normal"
"15-1","Castle Minifigures",NA,NA,"Historical","Castle","Classic","10","6 (6 Unique to this set)",NA,NA,"1984",NA,NA,NA,"Normal"
"105-1","Mail Van",NA,NA,"Modern day","Town","Special","65","1 ",NA,NA,"1984","Box","Promotional",NA,"Normal"
"226-4","The Building Book",NA,NA,"Miscellaneous","Books","LEGO",NA,NA,NA,NA,"1984",NA,NA,NA,"Book"
"311-3","Basic Building Set, 3+",NA,NA,"Basic","Basic",NA,"83",NA,NA,NA,"1984",NA,NA,NA,"Normal"
"533-1","Basic Building Set, 5+",NA,NA,"Basic","Basic",NA,"89",NA,NA,NA,"1984",NA,NA,NA,"Normal"
"759-1","Storage Cabinet",NA,NA,"Miscellaneous","Gear","Storage",NA,NA,NA,NA,"1984",NA,NA,NA,"Gear"
"760-1","Storage Cabinet",NA,NA,"Miscellaneous","Gear","Storage",NA,NA,NA,NA,"1984",NA,NA,NA,"Gear"
"801-4","Fabuland Characters",NA,NA,"Junior","Fabuland",NA,NA,"2 ",NA,NA,"1984","Other","Retail - limited",NA,"Normal"
"1012-1","Mosaic Set",NA,NA,"Educational","Dacta",NA,NA,NA,NA,NA,"1984",NA,NA,NA,"Normal"
"1032-1","Technic II Powered Machines Set",NA,NA,"Educational","Dacta","Technic","278",NA,"$80.00","28.8c","1984",NA,NA,NA,"Normal"
"1051-1","Basic Pack",NA,NA,"Educational","Dacta",NA,"402","6 ",NA,NA,"1984",NA,NA,NA,"Normal"
"1052-1","{Spare Elements}",NA,NA,"Educational","Dacta",NA,"699",NA,NA,NA,"1984",NA,NA,NA,"Normal"
"1053-1","Community Buildings",NA,NA,"Educational","Dacta",NA,"914",NA,NA,NA,"1984",NA,NA,NA,"Normal"
"1084-1","{Spare Elements - Structures}",NA,NA,"Educational","Dacta",NA,"198",NA,NA,NA,"1984",NA,NA,NA,"Normal"
"1214-1","Upper part of housing for 4.5V/12V train motor",NA,NA,"Miscellaneous","Service Packs","Trains","1",NA,NA,NA,"1984","Polybag",NA,NA,"Normal"
"1900-1","Trial Pack Duck",NA,NA,"Pre-school","Duplo",NA,"6",NA,NA,NA,"1984","Box","Retail - limited",NA,"Normal"
"1901-1","Trial Size Offer",NA,NA,"Basic","Basic",NA,"31",NA,NA,NA,"1984",NA,NA,NA,"Normal"
"1932-1","Basic Building Set with Storage Case",NA,NA,"Basic","Basic",NA,"83",NA,NA,NA,"1984","Other","Retail - limited",NA,"Normal"
"1954-2","Basic Set with Storage Case",NA,NA,"Basic","Basic",NA,"137",NA,NA,NA,"1984","Other","Retail - limited",NA,"Normal"
"1976-1","Town 3-Pack",NA,NA,"Modern day","Town","Bonus/Value Pack","97",NA,NA,NA,"1984","Box","Retail - limited",NA,"Collection"
"1979-2","Town Value Pack",NA,NA,"Modern day","Town","Product Collection","78",NA,NA,NA,"1984",NA,NA,NA,"Collection"
"1983-1","Space Value Pack",NA,NA,"Action/Adventure","Space","Bonus/Value Pack","97",NA,NA,NA,"1984","Blister pack",NA,NA,"Collection"
"2054-1","Squirrel Rattle",NA,NA,"Pre-school","Duplo","Baby","2",NA,NA,NA,"1984",NA,NA,NA,"Normal"
"2055-1","Rocking Horse",NA,NA,"Pre-school","Duplo","Baby","2","1 ",NA,NA,"1984",NA,NA,NA,"Normal"
"2305-1","Base Plate, Red",NA,NA,"Pre-school","Duplo",NA,"1",NA,"$10.00","1000.0c","1984",NA,NA,NA,"Normal"
"2307-1","Supplementary Set",NA,NA,"Pre-school","Duplo",NA,"18",NA,NA,NA,"1984",NA,NA,NA,"Normal"
"2309-1","Supplementary Set",NA,NA,"Pre-school","Duplo",NA,"25",NA,NA,NA,"1984",NA,NA,NA,"Normal"
"2335-1","Basic Set Animal",NA,NA,"Pre-school","Duplo",NA,"9",NA,NA,NA,"1984",NA,NA,NA,"Normal"
"2345-1","Basic Set House",NA,NA,"Pre-school","Duplo",NA,"15","2 ",NA,NA,"1984",NA,NA,NA,"Normal"
"2355-1","Basic Set Vehicles",NA,NA,"Pre-school","Duplo",NA,"25","2 ",NA,NA,"1984",NA,NA,NA,"Normal"
"2375-1","Basic Set Town",NA,NA,"Pre-school","Duplo",NA,"53","4 ",NA,NA,"1984",NA,NA,NA,"Normal"
"2618-1","Deep Sea Diver",NA,NA,"Pre-school","Duplo",NA,"2","1 ",NA,NA,"1984",NA,NA,NA,"Normal"
"2619-1","Helicopter",NA,NA,"Pre-school","Duplo",NA,"2","1 ",NA,NA,"1984",NA,NA,NA,"Normal"
"2636-1","Tow Truck",NA,NA,"Pre-school","Duplo",NA,"3","1 ",NA,NA,"1984",NA,NA,NA,"Normal"
"2639-1","Petrol Station",NA,NA,"Pre-school","Duplo",NA,"12","2 ",NA,NA,"1984",NA,NA,NA,"Normal"
"2649-1","Sea Explorer",NA,NA,"Pre-school","Duplo",NA,"36","3 ",NA,NA,"1984",NA,NA,NA,"Normal"
"2713-1","Train Points",NA,NA,"Pre-school","Duplo","Trains","10",NA,NA,NA,"1984",NA,NA,NA,"Normal"
"2717-1","Train Bridge",NA,NA,"Pre-school","Duplo","Trains","5",NA,"$9.00","180.0c","1984",NA,NA,NA,"Normal"
"3630-1","Percy Pilot",NA,NA,"Junior","Fabuland",NA,"8","1 ",NA,NA,"1984",NA,NA,NA,"Normal"
"3639-1","Paddy Wagon",NA,NA,"Junior","Fabuland",NA,"9","2 ",NA,NA,"1984",NA,NA,NA,"Normal"
"3664-1","Bertie Bulldog (Police Chief) and Constable Bulldog",NA,NA,"Junior","Fabuland",NA,"63","2 ",NA,NA,"1984",NA,NA,NA,"Normal"
"3670-1","Service Station",NA,NA,"Junior","Fabuland",NA,"52","2 ","$20.00","38.5c","1984",NA,NA,NA,"Normal"
"3671-1","Airport",NA,NA,"Junior","Fabuland",NA,"49","3 (1 Unique to this set)","$22.25","45.4c","1984",NA,NA,NA,"Normal"
"3711-1","Tubby and Tuba",NA,NA,"Junior","Fabuland",NA,"4","1 ",NA,NA,"1984",NA,NA,NA,"Normal"
"3712-1","Robby Rabbit",NA,NA,"Junior","Fabuland",NA,"4","1 (1 Unique to this set)",NA,NA,"1984",NA,NA,NA,"Normal"
"3713-1","Mike Monkey",NA,NA,"Junior","Fabuland",NA,"7","1 ",NA,NA,"1984",NA,NA,NA,"Normal"
"3789-1","Constable Clarke",NA,NA,"Junior","Fabuland",NA,"5","1 ",NA,NA,"1984",NA,NA,NA,"Normal"
"3791-1","Wally Walrus",NA,NA,"Junior","Fabuland",NA,"6","1 (1 Unique to this set)",NA,NA,"1984",NA,NA,NA,"Normal"
"6010-1","Supply Wagon",NA,"3.9","Historical","Castle","Lion Knights","35","1 (1 Unique to this set)","$3.00","8.6c","1984","Box","Retail",NA,"Normal"
"6021-1","Jousting Knights",NA,"3.9","Historical","Castle","Lion Knights","37","2 (2 Unique to this set)","$5.25","14.2c","1984","Box","Retail",NA,"Normal"
"6022-1","Horse Cart",NA,"3.7","Historical","Castle","Lion Knights","42","2 (1 Unique to this set)","$5.00","11.9c","1984","Box","Retail",NA,"Normal"
"6030-1","Catapult",NA,"4.0","Historical","Castle","Black Falcons","83","cas111 cas238 ","$6.00","7.2c","1984","Box","Retail",NA,"Normal"
"6040-1","Blacksmith Shop",NA,"4.2","Historical","Castle","Lion Knights","92","2 ","$9.25","10.1c","1984","Box","Retail",NA,"Normal"
"6061-1","Siege Tower",NA,"4.1","Historical","Castle","Lion Knights","216","cas101a ","$17.50","8.1c","1984","Box","Retail",NA,"Normal"
"6073-1","Knight's Castle",NA,"4.2","Historical","Castle","Black Falcons","408","2 (1 Unique to this set)","$27.00","6.6c","1984","Box","Retail",NA,"Normal"
"6080-1","King's Castle",NA,"4.6","Historical","Castle","Lion Knights","664","cas089 cas108 ","$52.75","7.9c","1984","Box","Retail",NA,"Normal"
"6103-2","Castle Figures",NA,NA,"Historical","Castle","Accessories","25","4 (2 Unique to this set)",NA,NA,"1984","Box","Retail",NA,"Normal"
"6366-1","Fire & Rescue Squad",NA,"3.9","Modern day","Town","Fire","112","cas108 cas189 cas288 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6367-1","Semi Truck",NA,"4.2","Modern day","Town","Vehicles","155","6 (1 Unique to this set)",NA,NA,"1984","Box","Retail",NA,"Normal"
"6373-1","Motorcycle Shop",NA,"4.2","Modern day","Town","Shops and Services","171","cas101a cas175 cas183 cas301 ","$17.50","10.2c","1984","Box","Retail",NA,"Normal"
"6391-1","Cargo Center",NA,"4.7","Modern day","Town","Shops and Services","553","12 (4 Unique to this set)","$43.00","7.8c","1984","Box","Retail - limited",NA,"Normal"
"6605-1","Road Racer",NA,"3.1","Modern day","Town","Racing","20","cas108 cas190 cas192 cas193 cas222 cas414 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6621-1","Fire Truck",NA,"3.3","Modern day","Town","Fire","38","4 (1 Unique to this set)",NA,NA,"1984","Box","Retail",NA,"Normal"
"6622-1","Mailman on Motorcycle",NA,"3.9","Modern day","Town","Postal","26","cas101a cas108 cas199 cas231 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6628-2","Construction Workers",NA,NA,"Modern day","Town","Accessories","20","3 ",NA,NA,"1984","Blister pack","Retail - limited",NA,"Normal"
"6655-1","Auto & Tire Repair",NA,"3.8","Modern day","Town","Shops and Services","58","firec001 firec005 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6684-1","Police Patrol Squad",NA,"3.8","Modern day","Town","Police","77","1 ","$6.50","8.4c","1984","Box","Retail",NA,"Normal"
"6686-1","Backhoe",NA,"4.0","Modern day","Town","Construction","88","pln071 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6694-1","Car with Camper",NA,"4.2","Modern day","Town","Leisure","109","2 (1 Unique to this set)",NA,NA,"1984","Box","Retail",NA,"Normal"
"6695-1","Tanker Truck",NA,"4.0","Modern day","Town","Vehicles","106","trn026 zip015 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6696-1","Fuel Tanker",NA,NA,"Modern day","Town","Vehicles","106","5 (1 Unique to this set)",NA,NA,"1984","Box","Retail - limited",NA,"Normal"
"6804-1","Surface Rover",NA,"3.5","Action/Adventure","Space","Classic","21","trn026 ver003 ver009 zip021 ","$0.99","4.7c","1984",NA,NA,NA,"Normal"
"6824-1","Space Dart I",NA,"3.8","Action/Adventure","Space","Classic","48","1 (1 Unique to this set)",NA,NA,"1984",NA,NA,NA,"Normal"
"6846-1","Tri-Star Voyager",NA,"4.2","Action/Adventure","Space","Classic","69","ver005 ","$4.45","6.4c","1984",NA,NA,NA,"Normal"
"6871-1","Star Patrol Launcher",NA,"3.9","Action/Adventure","Space","Classic","63","1 ",NA,NA,"1984",NA,NA,NA,"Normal"
"6022-1","Horse Cart",NA,"3.7","Historical","Castle","Lion Knights","42","firec001 ","$5.00","11.9c","1984","Box","Retail",NA,"Normal"
"6030-1","Catapult",NA,"4.0","Historical","Castle","Black Falcons","83","2 (2 Unique to this set)","$6.00","7.2c","1984","Box","Retail",NA,"Normal"
"6040-1","Blacksmith Shop",NA,"4.2","Historical","Castle","Lion Knights","92","pln077 post002 ","$9.25","10.1c","1984","Box","Retail",NA,"Normal"
"6061-1","Siege Tower",NA,"4.1","Historical","Castle","Lion Knights","216","4 ","$17.50","8.1c","1984","Box","Retail",NA,"Normal"
"6073-1","Knight's Castle",NA,"4.2","Historical","Castle","Black Falcons","408","but011 ","$27.00","6.6c","1984","Box","Retail",NA,"Normal"
"6080-1","King's Castle",NA,"4.6","Historical","Castle","Lion Knights","664","1 ","$52.75","7.9c","1984","Box","Retail",NA,"Normal"
"6103-2","Castle Figures",NA,NA,"Historical","Castle","Accessories","25","trn026 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6366-1","Fire & Rescue Squad",NA,"3.9","Modern day","Town","Fire","112","2 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6367-1","Semi Truck",NA,"4.2","Modern day","Town","Vehicles","155","cop001 cop003 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6373-1","Motorcycle Shop",NA,"4.2","Modern day","Town","Shops and Services","171","1 (1 Unique to this set)","$17.50","10.2c","1984","Box","Retail",NA,"Normal"
"6391-1","Cargo Center",NA,"4.7","Modern day","Town","Shops and Services","553","but031 ","$43.00","7.8c","1984","Box","Retail - limited",NA,"Normal"
"6605-1","Road Racer",NA,"3.1","Modern day","Town","Racing","20","2 (1 Unique to this set)",NA,NA,"1984","Box","Retail",NA,"Normal"
"6621-1","Fire Truck",NA,"3.3","Modern day","Town","Fire","38","pln002 ver006 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6622-1","Mailman on Motorcycle",NA,"3.9","Modern day","Town","Postal","26","1 (1 Unique to this set)",NA,NA,"1984","Box","Retail",NA,"Normal"
"6628-2","Construction Workers",NA,NA,"Modern day","Town","Accessories","20","shell001 ",NA,NA,"1984","Blister pack","Retail - limited",NA,"Normal"
"6655-1","Auto & Tire Repair",NA,"3.8","Modern day","Town","Shops and Services","58","1 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6684-1","Police Patrol Squad",NA,"3.8","Modern day","Town","Police","77","exx002 ","$6.50","8.4c","1984","Box","Retail",NA,"Normal"
"6686-1","Backhoe",NA,"4.0","Modern day","Town","Construction","88","1 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6694-1","Car with Camper",NA,"4.2","Modern day","Town","Leisure","109","sp006 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6695-1","Tanker Truck",NA,"4.0","Modern day","Town","Vehicles","106","1 ",NA,NA,"1984","Box","Retail",NA,"Normal"
"6696-1","Fuel Tanker",NA,NA,"Modern day","Town","Vehicles","106","sp004 ",NA,NA,"1984","Box","Retail - limited",NA,"Normal"
"6804-1","Surface Rover",NA,"3.5","Action/Adventure","Space","Classic","21","1 ","$0.99","4.7c","1984",NA,NA,NA,"Normal"
"6824-1","Space Dart I",NA,"3.8","Action/Adventure","Space","Classic","48","sp005 ",NA,NA,"1984",NA,NA,NA,"Normal"
"6846-1","Tri-Star Voyager",NA,"4.2","Action/Adventure","Space","Classic","69","2 ","$4.45","6.4c","1984",NA,NA,NA,"Normal"
"6871-1","Star Patrol Launcher",NA,"3.9","Action/Adventure","Space","Classic","63","sp005 sp006 ",NA,NA,"1984",NA,NA,NA,"Normal"
"6881-1","Lunar Rocket Launcher",NA,"4.1","Action/Adventure","Space","Classic","97","1 ",NA,NA,"1984",NA,NA,NA,"Normal"
"6928-1","Uranium Search Vehicle",NA,"4.1","Action/Adventure","Space","Classic","199","2 ",NA,NA,"1984",NA,NA,NA,"Normal"
"6951-1","Robot Command Center",NA,"4.4","Action/Adventure","Space","Classic","295","3 ",NA,NA,"1984",NA,NA,NA,"Normal"
"6971-1","Inter-Galactic Command Base",NA,"4.3","Action/Adventure","Space","Classic","328","3 ",NA,NA,"1984",NA,NA,NA,"Normal"
"8020-1","Universal Set",NA,"4.0","Technical","Technic","Universal","119",NA,NA,NA,"1984","Box","Retail",NA,"Normal"
"8040-1","Universal Set",NA,"3.6","Technical","Technic","Universal","163",NA,NA,NA,"1984","Box","Retail",NA,"Normal"
"8843-1","Fork-Lift Truck",NA,"3.8","Technical","Technic",NA,"269",NA,NA,NA,"1984","Box","Retail",NA,"Normal"
"8851-1","Excavator",NA,"4.2","Technical","Technic",NA,"347",NA,NA,NA,"1984","Box","Retail",NA,"Normal"
"8889-1","Ideas Book",NA,"4.3","Miscellaneous","Books","LEGO",NA,NA,"$5.00",NA,"1984",NA,NA,NA,"Book"
"106-1","UNICEF Van",NA,NA,"Modern day","Town","Special","59","1 ",NA,NA,"1985","Box","Promotional",NA,"Normal"
"107-2","Mail Truck",NA,NA,"Modern day","Town","Special","124","1 ",NA,NA,"1985","Box","Promotional",NA,"Normal"
"200-2","Building Ideas Book",NA,"4.5","Miscellaneous","Books","LEGO",NA,NA,NA,NA,"1985",NA,NA,NA,"Book"
"293-2","Basic Building Set",NA,NA,"Basic","Basic",NA,NA,NA,NA,NA,"1985","Box","Retail - limited",NA,"Normal"
"304-1","Basic Building Set, 3+",NA,NA,"Basic","Basic",NA,"31",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"308-2","Basic Building Set, 3+",NA,NA,"Basic","Basic",NA,"30",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"310-4","Basic Building Set, 3+",NA,NA,"Basic","Basic",NA,"46",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"320-1","Basic Building Set, 3+",NA,NA,"Basic","Basic",NA,"77","1 ",NA,NA,"1985",NA,NA,NA,"Normal"
"330-1","Basic Building Set, 3+",NA,NA,"Basic","Basic",NA,"156","2 ",NA,NA,"1985",NA,NA,NA,"Normal"
"340-1","Basic Building Set, 3+",NA,NA,"Basic","Basic",NA,"214","2 ",NA,NA,"1985",NA,NA,NA,"Normal"
"350-2","Basic Building Set, 3+",NA,NA,"Basic","Basic",NA,"311","4 ",NA,NA,"1985",NA,NA,NA,"Normal"
"504-1","Basic Building Set, 5+",NA,NA,"Basic","Basic",NA,"41",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"508-1","Basic Building Set, 5+",NA,NA,"Basic","Basic",NA,"66",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"510-1","Basic Building Set, 5+",NA,NA,"Basic","Basic",NA,"98",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"520-1","Basic Building Set, 5+",NA,NA,"Basic","Basic",NA,"165","1 ",NA,NA,"1985",NA,NA,NA,"Normal"
"530-1","Basic Building Set, 5+",NA,NA,"Basic","Basic",NA,"269","2 ",NA,NA,"1985",NA,NA,NA,"Normal"
"540-1","Basic Building Set, 5+",NA,NA,"Basic","Basic",NA,"626","2 ",NA,NA,"1985",NA,NA,NA,"Normal"
"550-1","Basic Building Set, 5+",NA,NA,"Basic","Basic",NA,"569","2 ",NA,NA,"1985",NA,NA,NA,"Normal"
"720-1","Basic Building Set, 7+",NA,"3.7","Basic","Basic",NA,"334","1 (1 Unique to this set)",NA,NA,"1985",NA,NA,NA,"Normal"
"730-2","Basic Building Set, 7+",NA,"4.2","Basic","Basic",NA,"412","2 ",NA,NA,"1985",NA,NA,NA,"Normal"
"740-1","Basic Building Set, 7+",NA,NA,"Basic","Basic",NA,"525",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"783-1","Storage Case",NA,NA,"Miscellaneous","Gear","Storage",NA,NA,NA,NA,"1985",NA,NA,NA,"Gear"
"810-1","Basic Motor Set",NA,NA,"Basic","Basic","Supplementaries","34",NA,"$26.50","77.9c","1985",NA,NA,NA,"Normal"
"895-1","Wind-Up Motor",NA,NA,"Basic","Basic","Supplementaries","10",NA,"$9.50","95.0c","1985",NA,NA,NA,"Normal"
"1013-1","Numbers - 6 symbols",NA,NA,"Educational","Dacta",NA,NA,NA,NA,NA,"1985",NA,NA,NA,"Normal"
"1015-1","Letters Large",NA,NA,"Educational","Dacta",NA,"192",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"1016-1","Letter Bricks for Wall Board",NA,NA,"Educational","Dacta",NA,NA,NA,NA,NA,"1985",NA,NA,NA,"Normal"
"1018-1","Letters Small",NA,NA,"Educational","Dacta",NA,NA,NA,NA,NA,"1985",NA,NA,NA,"Normal"
"1024-1","Animals - 32 elements",NA,NA,"Educational","Dacta",NA,"32",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"1025-1","Figures and Furniture",NA,NA,"Educational","Dacta",NA,"35","6 ",NA,NA,"1985",NA,NA,NA,"Normal"
"1026-1","Play Boxes from 2 yrs",NA,NA,"Educational","Dacta",NA,"2",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"1027-1","Vehicles",NA,NA,"Educational","Dacta",NA,"30","6 ",NA,NA,"1985",NA,NA,NA,"Normal"
"1033-1","Building Cards - 1032",NA,NA,"Educational","Dacta",NA,"20",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"1034-1","Teachers Resource Set",NA,NA,"Educational","Dacta","Technic","1501",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"1038-1","Universal Buggy - I","9+",NA,"Educational","Dacta","Technic","117",NA,NA,NA,"1985",NA,NA,NA,"Normal"
"1049-1","Ships",NA,NA,"Educational","Dacta",NA,"241","3 ",NA,NA,"1985",NA,NA,NA,"Normal"
