"setNumber","setName","ageGroup","rating","themeGroup","theme","subtheme","pieces","minifigs","RRP","PPP","yearReleased","packaging","availability","instructions","setType"
"45570-1","Space Challenge Set",NA,NA,"Educational","Education","Mindstorms","1417",NA,NA,NA,"2014",NA,NA,NA,"Normal"
"45800-1","FIRST LEGO League (FLL) Challenge 2014 - World Class",NA,NA,"Educational","Education","FIRST LEGO League","2090","2 (2 Unique to this set)",NA,NA,"2014","Box",NA,NA,"Normal"
"60032-1","Arctic Snowmobile","5 - 12","3.6","Modern day","City","Arctic","44","1 ","$6.99, 5.99€ |","15.9c, 13.6c","2014","Box","Retail","Yes","Normal"
"60033-1","Arctic Ice Crawler","5 - 12","3.8","Modern day","City","Arctic","113","1 ","$14.99, 14.99€ |","13.3c, 13.3c","2014","Box","Retail","Yes","Normal"
"60034-1","Arctic Helicrane","6 - 12","4.0","Modern day","City","Arctic","262","cty0493 ","$39.99, 29.99€ |","15.3c, 11.4c","2014","Box","Retail","Yes","Normal"
"60035-1","Arctic Outpost","5 - 12","4.0","Modern day","City","Arctic","374","2 (1 Unique to this set)","$49.99, 39.99€ |","13.4c, 10.7c","2014","Box","Retail","Yes","Normal"
"60036-1","Arctic Base Camp","6 - 12","4.2","Modern day","City","Arctic","733","cty0490 cty0491 ","$89.99, 89.99€ |","12.3c, 12.3c","2014","Box","Retail","Yes","Normal"
"60041-1","Crook Pursuit","5 - 12","3.3","Modern day","City","Police","38","3 ","$6.99, 5.99€ |","18.4c, 15.8c","2014","Box","Retail","Yes","Normal"
"60042-1","High Speed Police Chase","5 - 12","3.8","Modern day","City","Police","110","cty0492 cty0493 cty0496 ","$19.99, 14.99€ |","18.2c, 13.6c","2014","Box","Retail","Yes","Normal"
"60043-1","Prisoner Transporter","5 - 12","3.9","Modern day","City","Police","196","7 (2 Unique to this set)","$24.99, 19.99€ |","12.8c, 10.2c","2014","Box","Retail","Yes","Normal"
"60044-1","Mobile Police Unit","5 - 12","3.8","Modern day","City","Police","375","cty0491 cty0492 cty0493 cty0494 cty0495 cty0496 cty0497 ","$44.99, 29.99€ |","12.0c, 8.0c","2014","Box","Retail","Yes","Normal"
"60045-1","Police Patrol","5 - 12","4.2","Modern day","City","Police","408","2 (1 Unique to this set)","$44.99 |","11.0c","2014","Box","Retail","Yes","Normal"
"60046-1","Helicopter Surveillance","5 - 12","3.9","Modern day","City","Police","528","cty0448 cty0449 ","$74.99, 59.99€ |","14.2c, 11.4c","2014","Box","Retail","Yes","Normal"
"60047-1","Police Station","6 - 12","4.1","Modern day","City","Police","854","3 (2 Unique to this set)","$99.99, 99.99€ |","11.7c, 11.7c","2014","Box","Retail","Yes","Normal"
"60048-1","Police Dog Unit","5 - 12","3.9","Modern day","City","Police","249","cty0450 cty0451 cty0452 ","$29.99, 29.99€ |","12.0c, 12.0c","2014","Box","Retail - limited","Yes","Normal"
"60049-1","Helicopter Transporter","5 - 12","4.0","Modern day","City","Police","382","3 (1 Unique to this set)","$44.99, 39.99€ |","11.8c, 10.5c","2014","Box","Retail - limited","Yes","Normal"
"60050-1","Train Station","5 - 12","4.1","Modern day","City","Trains","423","cty0456 cty0457 cty0458 ","$64.99, 49.99€ |","15.4c, 11.8c","2014","Box","Retail","Yes","Normal"
"60051-1","High-speed Passenger Train","6 - 12","4.1","Modern day","City","Trains","610","3 (1 Unique to this set)","$149.99, 119.99€ |","24.6c, 19.7c","2014","Box","Retail","Yes","Normal"
"60052-1","Cargo Train","6 - 12","4.3","Modern day","City","Trains","888","cty0454 cty0457 cty0476 ","$199.99, 179.99€ |","22.5c, 20.3c","2014","Box","Retail","Yes","Normal"
"60053-1","Race Car","5 - 12","3.8","Modern day","City","Great Vehicles","100","3 (2 Unique to this set)","$9.99, 9.99€ |","10.0c, 10.0c","2014","Box","Retail","Yes","Normal"
"60054-1","Light Repair Truck","5 - 12","3.7","Modern day","City","Great Vehicles","95","cty0453 cty0454 cty0455 ","$9.99 |","10.5c","2014","Box","Retail","Yes","Normal"
"60055-1","Monster Truck","5 - 12","3.5","Modern day","City","Great Vehicles","78","5 (2 Unique to this set)","$9.99, 9.99€ |","12.8c, 12.8c","2014","Box","Retail","Yes","Normal"
"60056-1","Tow Truck","5 - 12","3.8","Modern day","City","Great Vehicles","227","cty0449 cty0462 cty0463 cty0464 cty0465 ","$19.99 |","8.8c","2014","Box","Retail","Yes","Normal"
"60057-1","Camper Van","5 - 12","4.0","Modern day","City","Great Vehicles","195","7 (4 Unique to this set)","$19.99, 19.99€ |","10.3c, 10.3c","2014","Box","Retail","Yes","Normal"
"60058-1","SUV with Watercraft","5 - 12","3.8","Modern day","City","Great Vehicles","219","cty0452 cty0458 cty0481 cty0484 cty0485 cty0486 cty0487 ","$19.99 |","9.1c","2014","Box","Retail","Yes","Normal"
"60059-1","Logging Truck","5 - 12","4.1","Modern day","City","Great Vehicles","228","3 (3 Unique to this set)","$19.99 |","8.8c","2014","Box","Retail","Yes","Normal"
"60060-1","Auto Transporter","5 - 12","4.0","Modern day","City","Great Vehicles","350","cty0477 cty0478 cty0479 ","$29.99, 29.99€ |","8.6c, 8.6c","2014","Box","Retail","Yes","Normal"
"60061-1","Airport Fire Truck","5 - 12","4.1","Modern day","City","Airport","326","4 (1 Unique to this set)","$29.99 |","9.2c","2014","Box","Retail","Yes","Normal"
"60033-1","Arctic Ice Crawler","5 - 12","3.8","Modern day","City","Arctic","113","cty0449 cty0465 cty0480 cty0481 ","$14.99, 14.99€ |","13.3c, 13.3c","2014","Box","Retail","Yes","Normal"
"60034-1","Arctic Helicrane","6 - 12","4.0","Modern day","City","Arctic","262","5 (5 Unique to this set)","$39.99, 29.99€ |","15.3c, 11.4c","2014","Box","Retail","Yes","Normal"
"60035-1","Arctic Outpost","5 - 12","4.0","Modern day","City","Arctic","374","cty0502 cty0503 cty0504 cty0505 cty0506 ","$49.99, 39.99€ |","13.4c, 10.7c","2014","Box","Retail","Yes","Normal"
"60036-1","Arctic Base Camp","6 - 12","4.2","Modern day","City","Arctic","733","3 (3 Unique to this set)","$89.99, 89.99€ |","12.3c, 12.3c","2014","Box","Retail","Yes","Normal"
"60041-1","Crook Pursuit","5 - 12","3.3","Modern day","City","Police","38","cty0510 cty0511 trn237 ","$6.99, 5.99€ |","18.4c, 15.8c","2014","Box","Retail","Yes","Normal"
"60042-1","High Speed Police Chase","5 - 12","3.8","Modern day","City","Police","110","4 (4 Unique to this set)","$19.99, 14.99€ |","18.2c, 13.6c","2014","Box","Retail","Yes","Normal"
"60043-1","Prisoner Transporter","5 - 12","3.9","Modern day","City","Police","196","cty0499 cty0500 trn235 trn236 ","$24.99, 19.99€ |","12.8c, 10.2c","2014","Box","Retail","Yes","Normal"
"60044-1","Mobile Police Unit","5 - 12","3.8","Modern day","City","Police","375","1 ","$44.99, 29.99€ |","12.0c, 8.0c","2014","Box","Retail","Yes","Normal"
"60045-1","Police Patrol","5 - 12","4.2","Modern day","City","Police","408","cty0389 ","$44.99 |","11.0c","2014","Box","Retail","Yes","Normal"
"60046-1","Helicopter Surveillance","5 - 12","3.9","Modern day","City","Police","528","1 (1 Unique to this set)","$74.99, 59.99€ |","14.2c, 11.4c","2014","Box","Retail","Yes","Normal"
"60047-1","Police Station","6 - 12","4.1","Modern day","City","Police","854","cty0471 ","$99.99, 99.99€ |","11.7c, 11.7c","2014","Box","Retail","Yes","Normal"
"60048-1","Police Dog Unit","5 - 12","3.9","Modern day","City","Police","249","1 (1 Unique to this set)","$29.99, 29.99€ |","12.0c, 12.0c","2014","Box","Retail - limited","Yes","Normal"
"60049-1","Helicopter Transporter","5 - 12","4.0","Modern day","City","Police","382","cty0475 ","$44.99, 39.99€ |","11.8c, 10.5c","2014","Box","Retail - limited","Yes","Normal"
"60050-1","Train Station","5 - 12","4.1","Modern day","City","Trains","423","1 (1 Unique to this set)","$64.99, 49.99€ |","15.4c, 11.8c","2014","Box","Retail","Yes","Normal"
"60051-1","High-speed Passenger Train","6 - 12","4.1","Modern day","City","Trains","610","cty0459 ","$149.99, 119.99€ |","24.6c, 19.7c","2014","Box","Retail","Yes","Normal"
"60052-1","Cargo Train","6 - 12","4.3","Modern day","City","Trains","888","2 (2 Unique to this set)","$199.99, 179.99€ |","22.5c, 20.3c","2014","Box","Retail","Yes","Normal"
"60053-1","Race Car","5 - 12","3.8","Modern day","City","Great Vehicles","100","cty0472 cty0473 ","$9.99, 9.99€ |","10.0c, 10.0c","2014","Box","Retail","Yes","Normal"
"60054-1","Light Repair Truck","5 - 12","3.7","Modern day","City","Great Vehicles","95","2 (2 Unique to this set)","$9.99 |","10.5c","2014","Box","Retail","Yes","Normal"
"60055-1","Monster Truck","5 - 12","3.5","Modern day","City","Great Vehicles","78","cty0468 cty0469 ","$9.99, 9.99€ |","12.8c, 12.8c","2014","Box","Retail","Yes","Normal"
"60056-1","Tow Truck","5 - 12","3.8","Modern day","City","Great Vehicles","227","2 (2 Unique to this set)","$19.99 |","8.8c","2014","Box","Retail","Yes","Normal"
"60057-1","Camper Van","5 - 12","4.0","Modern day","City","Great Vehicles","195","cty0466 cty0467 ","$19.99, 19.99€ |","10.3c, 10.3c","2014","Box","Retail","Yes","Normal"
"60058-1","SUV with Watercraft","5 - 12","3.8","Modern day","City","Great Vehicles","219","2 (2 Unique to this set)","$19.99 |","9.1c","2014","Box","Retail","Yes","Normal"
